Ville;Temp;Min;Max;Date
Paris 01;16°c;16°c;16°c;2021-02-24 12:00:00;
Paris 01;18°c;18°c;18°c;2021-02-24 15:00:00;
Paris 01;15°c;15°c;15°c;2021-02-24 18:00:00;
Paris 01;13°c;13°c;13°c;2021-02-24 21:00:00;
Paris 01;12°c;12°c;12°c;2021-02-25 00:00:00;
Paris 01;11°c;11°c;11°c;2021-02-25 03:00:00;
Paris 01;10°c;10°c;10°c;2021-02-25 06:00:00;
Paris 01;11°c;11°c;11°c;2021-02-25 09:00:00;
Paris 01;14°c;14°c;14°c;2021-02-25 12:00:00;
Paris 01;15°c;15°c;15°c;2021-02-25 15:00:00;
Paris 01;13°c;13°c;13°c;2021-02-25 18:00:00;
Paris 01;12°c;12°c;12°c;2021-02-25 21:00:00;
Paris 01;11°c;11°c;11°c;2021-02-26 00:00:00;
Paris 01;9°c;9°c;9°c;2021-02-26 03:00:00;
Paris 01;9°c;9°c;9°c;2021-02-26 06:00:00;
Paris 01;9°c;9°c;9°c;2021-02-26 09:00:00;
Paris 01;11°c;11°c;11°c;2021-02-26 12:00:00;
Paris 01;12°c;12°c;12°c;2021-02-26 15:00:00;
Paris 01;10°c;10°c;10°c;2021-02-26 18:00:00;
Paris 01;8°c;8°c;8°c;2021-02-26 21:00:00;
Paris 01;6°c;6°c;6°c;2021-02-27 00:00:00;
Paris 01;5°c;5°c;5°c;2021-02-27 03:00:00;
Paris 01;4°c;4°c;4°c;2021-02-27 06:00:00;
Paris 01;6°c;6°c;6°c;2021-02-27 09:00:00;
Paris 01;10°c;10°c;10°c;2021-02-27 12:00:00;
Paris 01;11°c;11°c;11°c;2021-02-27 15:00:00;
Paris 01;9°c;9°c;9°c;2021-02-27 18:00:00;
Quartier du Palais-Royal;13°c;12°c;13°c;2021-02-22 21:00:00;
Quartier du Palais-Royal;13°c;12°c;13°c;2021-02-23 00:00:00;
Quartier du Palais-Royal;11°c;11°c;11°c;2021-02-23 03:00:00;
Quartier du Palais-Royal;11°c;11°c;11°c;2021-02-23 06:00:00;
Quartier du Palais-Royal;12°c;12°c;12°c;2021-02-23 09:00:00;
Quartier du Palais-Royal;16°c;16°c;16°c;2021-02-23 12:00:00;
Quartier du Palais-Royal;17°c;17°c;17°c;2021-02-23 15:00:00;
Quartier du Palais-Royal;14°c;14°c;14°c;2021-02-23 18:00:00;
Quartier du Palais-Royal;13°c;13°c;13°c;2021-02-23 21:00:00;
Quartier du Palais-Royal;12°c;12°c;12°c;2021-02-24 00:00:00;
Quartier du Palais-Royal;11°c;11°c;11°c;2021-02-24 03:00:00;
Quartier du Palais-Royal;10°c;10°c;10°c;2021-02-24 06:00:00;
Quartier du Palais-Royal;12°c;12°c;12°c;2021-02-24 09:00:00;
Quartier du Palais-Royal;16°c;16°c;16°c;2021-02-24 12:00:00;
Quartier du Palais-Royal;18°c;18°c;18°c;2021-02-24 15:00:00;
Quartier du Palais-Royal;15°c;15°c;15°c;2021-02-24 18:00:00;
Quartier du Palais-Royal;13°c;13°c;13°c;2021-02-24 21:00:00;
Quartier du Palais-Royal;12°c;12°c;12°c;2021-02-25 00:00:00;
Quartier du Palais-Royal;11°c;11°c;11°c;2021-02-25 03:00:00;
Quartier du Palais-Royal;10°c;10°c;10°c;2021-02-25 06:00:00;
Quartier du Palais-Royal;11°c;11°c;11°c;2021-02-25 09:00:00;
Quartier du Palais-Royal;14°c;14°c;14°c;2021-02-25 12:00:00;
Quartier du Palais-Royal;14°c;14°c;14°c;2021-02-25 15:00:00;
Quartier du Palais-Royal;13°c;13°c;13°c;2021-02-25 18:00:00;
Quartier du Palais-Royal;12°c;12°c;12°c;2021-02-25 21:00:00;
Quartier du Palais-Royal;10°c;10°c;10°c;2021-02-26 00:00:00;
Quartier du Palais-Royal;9°c;9°c;9°c;2021-02-26 03:00:00;
Quartier du Palais-Royal;9°c;9°c;9°c;2021-02-26 06:00:00;
Quartier du Palais-Royal;9°c;9°c;9°c;2021-02-26 09:00:00;
Quartier du Palais-Royal;11°c;11°c;11°c;2021-02-26 12:00:00;
Quartier du Palais-Royal;12°c;12°c;12°c;2021-02-26 15:00:00;
Quartier du Palais-Royal;10°c;10°c;10°c;2021-02-26 18:00:00;
Quartier du Palais-Royal;8°c;8°c;8°c;2021-02-26 21:00:00;
Quartier du Palais-Royal;6°c;6°c;6°c;2021-02-27 00:00:00;
Quartier du Palais-Royal;5°c;5°c;5°c;2021-02-27 03:00:00;
Quartier du Palais-Royal;4°c;4°c;4°c;2021-02-27 06:00:00;
Quartier du Palais-Royal;6°c;6°c;6°c;2021-02-27 09:00:00;
Quartier du Palais-Royal;10°c;10°c;10°c;2021-02-27 12:00:00;
Quartier du Palais-Royal;11°c;11°c;11°c;2021-02-27 15:00:00;
Quartier du Palais-Royal;9°c;9°c;9°c;2021-02-27 18:00:00;
Paris 14;13°c;12°c;13°c;2021-02-22 21:00:00;
Paris 14;12°c;12°c;12°c;2021-02-23 00:00:00;
Paris 14;11°c;11°c;11°c;2021-02-23 03:00:00;
Paris 14;11°c;11°c;11°c;2021-02-23 06:00:00;
Paris 14;12°c;12°c;12°c;2021-02-23 09:00:00;
Paris 14;16°c;16°c;16°c;2021-02-23 12:00:00;
Paris 14;17°c;17°c;17°c;2021-02-23 15:00:00;
Paris 14;14°c;14°c;14°c;2021-02-23 18:00:00;
Paris 14;13°c;13°c;13°c;2021-02-23 21:00:00;
Paris 14;12°c;12°c;12°c;2021-02-24 00:00:00;
Paris 14;11°c;11°c;11°c;2021-02-24 03:00:00;
Paris 14;10°c;10°c;10°c;2021-02-24 06:00:00;
Paris 14;12°c;12°c;12°c;2021-02-24 09:00:00;
Paris 14;16°c;16°c;16°c;2021-02-24 12:00:00;
Paris 14;18°c;18°c;18°c;2021-02-24 15:00:00;
Paris 14;15°c;15°c;15°c;2021-02-24 18:00:00;
Paris 14;13°c;13°c;13°c;2021-02-24 21:00:00;
Paris 14;12°c;12°c;12°c;2021-02-25 00:00:00;
Paris 14;11°c;11°c;11°c;2021-02-25 03:00:00;
Paris 14;10°c;10°c;10°c;2021-02-25 06:00:00;
Paris 14;11°c;11°c;11°c;2021-02-25 09:00:00;
Paris 14;14°c;14°c;14°c;2021-02-25 12:00:00;
Paris 14;14°c;14°c;14°c;2021-02-25 15:00:00;
Paris 14;13°c;13°c;13°c;2021-02-25 18:00:00;
Paris 14;12°c;12°c;12°c;2021-02-25 21:00:00;
Paris 14;10°c;10°c;10°c;2021-02-26 00:00:00;
Paris 14;9°c;9°c;9°c;2021-02-26 03:00:00;
Paris 14;9°c;9°c;9°c;2021-02-26 06:00:00;
Paris 14;9°c;9°c;9°c;2021-02-26 09:00:00;
Paris 14;11°c;11°c;11°c;2021-02-26 12:00:00;
Paris 14;12°c;12°c;12°c;2021-02-26 15:00:00;
Paris 14;10°c;10°c;10°c;2021-02-26 18:00:00;
Paris 14;8°c;8°c;8°c;2021-02-26 21:00:00;
Paris 14;6°c;6°c;6°c;2021-02-27 00:00:00;
Paris 14;5°c;5°c;5°c;2021-02-27 03:00:00;
Paris 14;4°c;4°c;4°c;2021-02-27 06:00:00;
Paris 14;6°c;6°c;6°c;2021-02-27 09:00:00;
Paris 14;10°c;10°c;10°c;2021-02-27 12:00:00;
Paris 14;11°c;11°c;11°c;2021-02-27 15:00:00;
Paris 14;9°c;9°c;9°c;2021-02-27 18:00:00;
Quartier du Petit-Montrouge;13°c;12°c;13°c;2021-02-22 21:00:00;
Quartier du Petit-Montrouge;12°c;12°c;12°c;2021-02-23 00:00:00;
Quartier du Petit-Montrouge;11°c;11°c;11°c;2021-02-23 03:00:00;
Quartier du Petit-Montrouge;11°c;10°c;11°c;2021-02-23 06:00:00;
Quartier du Petit-Montrouge;12°c;12°c;12°c;2021-02-23 09:00:00;
Quartier du Petit-Montrouge;16°c;16°c;16°c;2021-02-23 12:00:00;
Quartier du Petit-Montrouge;17°c;17°c;17°c;2021-02-23 15:00:00;
Quartier du Petit-Montrouge;14°c;14°c;14°c;2021-02-23 18:00:00;
Quartier du Petit-Montrouge;13°c;13°c;13°c;2021-02-23 21:00:00;
Quartier du Petit-Montrouge;12°c;12°c;12°c;2021-02-24 00:00:00;
Quartier du Petit-Montrouge;11°c;11°c;11°c;2021-02-24 03:00:00;
Quartier du Petit-Montrouge;10°c;10°c;10°c;2021-02-24 06:00:00;
Quartier du Petit-Montrouge;11°c;11°c;11°c;2021-02-24 09:00:00;
Quartier du Petit-Montrouge;16°c;16°c;16°c;2021-02-24 12:00:00;
Quartier du Petit-Montrouge;18°c;18°c;18°c;2021-02-24 15:00:00;
Quartier du Petit-Montrouge;15°c;15°c;15°c;2021-02-24 18:00:00;
Quartier du Petit-Montrouge;13°c;13°c;13°c;2021-02-24 21:00:00;
Quartier du Petit-Montrouge;12°c;12°c;12°c;2021-02-25 00:00:00;
Quartier du Petit-Montrouge;11°c;11°c;11°c;2021-02-25 03:00:00;
Quartier du Petit-Montrouge;10°c;10°c;10°c;2021-02-25 06:00:00;
Quartier du Petit-Montrouge;11°c;11°c;11°c;2021-02-25 09:00:00;
Quartier du Petit-Montrouge;14°c;14°c;14°c;2021-02-25 12:00:00;
Quartier du Petit-Montrouge;14°c;14°c;14°c;2021-02-25 15:00:00;
Quartier du Petit-Montrouge;13°c;13°c;13°c;2021-02-25 18:00:00;
Quartier du Petit-Montrouge;12°c;12°c;12°c;2021-02-25 21:00:00;
Quartier du Petit-Montrouge;10°c;10°c;10°c;2021-02-26 00:00:00;
Quartier du Petit-Montrouge;9°c;9°c;9°c;2021-02-26 03:00:00;
Quartier du Petit-Montrouge;9°c;9°c;9°c;2021-02-26 06:00:00;
Quartier du Petit-Montrouge;9°c;9°c;9°c;2021-02-26 09:00:00;
Quartier du Petit-Montrouge;11°c;11°c;11°c;2021-02-26 12:00:00;
Quartier du Petit-Montrouge;12°c;12°c;12°c;2021-02-26 15:00:00;
Quartier du Petit-Montrouge;10°c;10°c;10°c;2021-02-26 18:00:00;
Quartier du Petit-Montrouge;8°c;8°c;8°c;2021-02-26 21:00:00;
Quartier du Petit-Montrouge;6°c;6°c;6°c;2021-02-27 00:00:00;
Quartier du Petit-Montrouge;5°c;5°c;5°c;2021-02-27 03:00:00;
Quartier du Petit-Montrouge;4°c;4°c;4°c;2021-02-27 06:00:00;
Quartier du Petit-Montrouge;6°c;6°c;6°c;2021-02-27 09:00:00;
Quartier du Petit-Montrouge;10°c;10°c;10°c;2021-02-27 12:00:00;
Quartier du Petit-Montrouge;11°c;11°c;11°c;2021-02-27 15:00:00;
Quartier du Petit-Montrouge;9°c;9°c;9°c;2021-02-27 18:00:00;
