ville;date;temp;min;max
Toulouges,FR;2021-02-16 12:00:00;11.04000000000002;11.04000000000002;13.240000000000009
Toulouges,FR;2021-02-16 15:00:00;12.590000000000032;12.590000000000032;13.600000000000023
Toulouges,FR;2021-02-16 18:00:00;10.03000000000003;10.03000000000003;10.100000000000023
Toulouges,FR;2021-02-16 21:00:00;9.5;9.5;9.5
Toulouges,FR;2021-02-17 00:00:00;8.970000000000027;8.970000000000027;8.970000000000027
Toulouges,FR;2021-02-17 03:00:00;8.870000000000005;8.870000000000005;8.870000000000005
Toulouges,FR;2021-02-17 06:00:00;8.980000000000018;8.980000000000018;8.980000000000018
Toulouges,FR;2021-02-17 09:00:00;12.960000000000036;12.960000000000036;12.960000000000036
Toulouges,FR;2021-02-17 12:00:00;17.05000000000001;17.05000000000001;17.05000000000001
Toulouges,FR;2021-02-17 15:00:00;16.99000000000001;16.99000000000001;16.99000000000001
Toulouges,FR;2021-02-17 18:00:00;12.75;12.75;12.75
Toulouges,FR;2021-02-17 21:00:00;11.660000000000025;11.660000000000025;11.660000000000025
Toulouges,FR;2021-02-18 00:00:00;10.600000000000023;10.600000000000023;10.600000000000023
Toulouges,FR;2021-02-18 03:00:00;9.629999999999995;9.629999999999995;9.629999999999995
Toulouges,FR;2021-02-18 06:00:00;9.590000000000032;9.590000000000032;9.590000000000032
Toulouges,FR;2021-02-18 09:00:00;11.910000000000025;11.910000000000025;11.910000000000025
Toulouges,FR;2021-02-18 12:00:00;14.740000000000009;14.740000000000009;14.740000000000009
Toulouges,FR;2021-02-18 15:00:00;15.129999999999995;15.129999999999995;15.129999999999995
Toulouges,FR;2021-02-18 18:00:00;11.629999999999995;11.629999999999995;11.629999999999995
Toulouges,FR;2021-02-18 21:00:00;10.970000000000027;10.970000000000027;10.970000000000027
Toulouges,FR;2021-02-19 00:00:00;10.07000000000005;10.07000000000005;10.07000000000005
Toulouges,FR;2021-02-19 03:00:00;9.28000000000003;9.28000000000003;9.28000000000003
Toulouges,FR;2021-02-19 06:00:00;8.760000000000048;8.760000000000048;8.760000000000048
Toulouges,FR;2021-02-19 09:00:00;12.129999999999995;12.129999999999995;12.129999999999995
Toulouges,FR;2021-02-19 12:00:00;14.590000000000032;14.590000000000032;14.590000000000032
Toulouges,FR;2021-02-19 15:00:00;14.970000000000027;14.970000000000027;14.970000000000027
Toulouges,FR;2021-02-19 18:00:00;11.520000000000039;11.520000000000039;11.520000000000039
Toulouges,FR;2021-02-19 21:00:00;10.610000000000014;10.610000000000014;10.610000000000014
Toulouges,FR;2021-02-20 00:00:00;9.770000000000039;9.770000000000039;9.770000000000039
Toulouges,FR;2021-02-20 03:00:00;9.439999999999998;9.439999999999998;9.439999999999998
Toulouges,FR;2021-02-20 06:00:00;8.460000000000036;8.460000000000036;8.460000000000036
Toulouges,FR;2021-02-20 09:00:00;11.82000000000005;11.82000000000005;11.82000000000005
Toulouges,FR;2021-02-20 12:00:00;16.060000000000002;16.060000000000002;16.060000000000002
Toulouges,FR;2021-02-20 15:00:00;18.310000000000002;18.310000000000002;18.310000000000002
Toulouges,FR;2021-02-20 18:00:00;14.120000000000005;14.120000000000005;14.120000000000005
Toulouges,FR;2021-02-20 21:00:00;12.650000000000034;12.650000000000034;12.650000000000034
Toulouges,FR;2021-02-21 00:00:00;12.230000000000018;12.230000000000018;12.230000000000018
Toulouges,FR;2021-02-21 03:00:00;11.400000000000034;11.400000000000034;11.400000000000034
Toulouges,FR;2021-02-21 06:00:00;11.270000000000039;11.270000000000039;11.270000000000039
Toulouges,FR;2021-02-21 09:00:00;13.410000000000025;13.410000000000025;13.410000000000025
Toulouges,FR;2021-02-16 12:00:00;11.04000000000002;11.04000000000002;13.240000000000009
Toulouges,FR;2021-02-16 15:00:00;12.590000000000032;12.590000000000032;13.600000000000023
Toulouges,FR;2021-02-16 18:00:00;10.03000000000003;10.03000000000003;10.100000000000023
Toulouges,FR;2021-02-16 21:00:00;9.5;9.5;9.5
Toulouges,FR;2021-02-17 00:00:00;8.970000000000027;8.970000000000027;8.970000000000027
Toulouges,FR;2021-02-17 03:00:00;8.870000000000005;8.870000000000005;8.870000000000005
Toulouges,FR;2021-02-17 06:00:00;8.980000000000018;8.980000000000018;8.980000000000018
Toulouges,FR;2021-02-17 09:00:00;12.960000000000036;12.960000000000036;12.960000000000036
Toulouges,FR;2021-02-17 12:00:00;17.05000000000001;17.05000000000001;17.05000000000001
Toulouges,FR;2021-02-17 15:00:00;16.99000000000001;16.99000000000001;16.99000000000001
Toulouges,FR;2021-02-17 18:00:00;12.75;12.75;12.75
Toulouges,FR;2021-02-17 21:00:00;11.660000000000025;11.660000000000025;11.660000000000025
Toulouges,FR;2021-02-18 00:00:00;10.600000000000023;10.600000000000023;10.600000000000023
Toulouges,FR;2021-02-18 03:00:00;9.629999999999995;9.629999999999995;9.629999999999995
Toulouges,FR;2021-02-18 06:00:00;9.590000000000032;9.590000000000032;9.590000000000032
Toulouges,FR;2021-02-18 09:00:00;11.910000000000025;11.910000000000025;11.910000000000025
Toulouges,FR;2021-02-18 12:00:00;14.740000000000009;14.740000000000009;14.740000000000009
Toulouges,FR;2021-02-18 15:00:00;15.129999999999995;15.129999999999995;15.129999999999995
Toulouges,FR;2021-02-18 18:00:00;11.629999999999995;11.629999999999995;11.629999999999995
Toulouges,FR;2021-02-18 21:00:00;10.970000000000027;10.970000000000027;10.970000000000027
Toulouges,FR;2021-02-19 00:00:00;10.07000000000005;10.07000000000005;10.07000000000005
